iter	Passed	Remaining
574	19970	14760
575	20004	14725
576	20037	14689
577	20071	14654
578	20107	14620
579	20149	14591
580	20207	14572
581	20265	14554
582	20303	14522
583	20342	14490
584	20374	14453
585	20402	14413
586	20433	14376
587	20464	14339
588	20494	14300
589	20529	14266
590	20568	14234
591	20603	14199
592	20634	14162
593	20667	14126
594	20697	14088
595	20728	14051
596	20764	14016
597	20800	13983
598	20833	13946
599	20864	13909
600	20897	13873
601	20927	13835
602	20961	13800
603	20996	13765
604	21040	13737
605	21082	13707
606	21117	13672
607	21151	13636
608	21181	13599
609	21211	13561
610	21246	13526
611	21287	13496
612	21331	13467
613	21367	13433
614	21397	13395
615	21425	13356
616	21460	13321
617	21500	13289
618	21534	13254
619	21567	13218
620	21597	13181
621	21628	13143
622	21663	13109
623	21699	13075
624	21736	13042
625	21768	13005
626	21800	12969
627	21830	12931
628	21856	12891
629	21887	12854
630	21919	12818
631	21952	12782
632	21984	12746
633	22017	12710
634	22046	12672
635	22076	12634
636	22104	12596
637	22142	12563
638	22181	12531
639	22216	12496
640	22256	12465
641	22298	12434
642	22341	12404
643	22404	12385
644	22454	12358
645	22489	12323
646	22520	12286
647	22552	12250
648	22586	12215
649	22619	12179
650	22653	12144
651	22685	12108
652	22717	12071
653	22747	12034
654	22781	11999
655	22810	11961
656	22839	11923
657	22869	11886
658	22900	11849
659	22929	11812
660	22963	11777
661	23007	11747
662	23045	11713
663	23082	11680
664	23115	11644
665	23149	11609
666	23181	11573
667	23214	11537
668	23259	11508
669	23292	11472
670	23324	11436
671	23358	11401
672	23391	11365
673	23422	11328
674	23452	11291
675	23507	11266
676	23555	11238
677	23591	11204
678	23627	11170
679	23660	11134
680	23699	11101
681	23738	11068
682	23771	11033
683	23858	11022
684	23921	11000
685	23961	10968
686	24007	10937
687	24043	10903
688	24085	10871
689	24124	10838
690	24162	10804
691	24201	10771
692	24241	10739
693	24275	10703
694	24310	10668
695	24348	10634
696	24383	10599
697	24423	10567
698	24459	10532
699	24493	10497
700	24528	10462
701	24563	10427
702	24604	10394
703	24650	10364
704	24704	10337
705	24748	10305
706	24787	10272
707	24829	10240
708	24871	10208
709	24920	10178
710	24959	10145
711	24996	10110
712	25033	10076
713	25069	10041
714	25111	10009
715	25155	9978
716	25200	9946
717	25241	9913
718	25280	9879
719	25319	9846
720	25361	9814
721	25414	9785
722	25460	9754
723	25500	9720
724	25544	9689
725	25585	9656
726	25638	9627
727	25680	9594
728	25728	9564
729	25782	9536
730	25830	9505
731	25877	9474
732	25927	9444
733	25971	9411
734	26021	9381
735	26080	9355
736	26128	9324
737	26175	9292
738	26228	9263
739	26270	9230
740	26308	9195
741	26353	9163
742	26393	9129
743	26433	9095
744	26471	9060
745	26503	9024
746	26541	8989
747	26583	8955
748	26624	8922
749	26667	8889
750	26710	8855
751	26763	8826
752	26815	8795
753	26869	8766
754	26916	8734
755	26954	8699
756	27000	8667
757	27050	8636
758	27104	8606
759	27146	8572
760	27188	8538
761	27244	8509
762	27314	8484
763	27373	8455
764	27430	8426
765	27512	8404
766	27585	8379
767	27629	8346
768	27677	8313
769	27723	8280
770	27776	8250
771	27834	8220
772	27880	8187
773	27926	8154
774	27992	8126
775	28052	8097
776	28099	8064
777	28149	8032
778	28203	8001
779	28256	7969
780	28307	7937
781	28354	7904
782	28403	7871
783	28453	7839
784	28502	7806
785	28552	7773
786	28594	7739
787	28639	7705
788	28692	7673
789	28745	7641
790	28789	7606
791	28832	7572
792	28880	7538
793	28926	7504
794	28975	7471
795	29033	7440
796	29083	7407
797	29134	7374
798	29193	7343
799	29239	7309
800	29282	7274
801	29323	7239
802	29370	7205
803	29420	7172
804	29471	7138
805	29512	7103
806	29557	7068
807	29602	7034
808	29647	6999
809	29707	6968
810	29749	6932
811	29795	6898
812	29836	6862
813	29881	6828
814	29920	6791
815	29959	6755
816	30000	6719
817	30042	6684
818	30080	6647
819	30126	6613
820	30171	6578
821	30220	6544
822	30275	6511
823	30326	6477
824	30367	6441
825	30408	6405
826	30451	6370
827	30489	6333
828	30530	6297
829	30577	6262
830	30616	6226
831	30655	6190
832	30706	6156
833	30744	6119
834	30787	6083
835	30837	6049
836	30884	6014
837	30931	5979
838	30988	5946
839	31034	5911
840	31083	5876
841	31134	5842
842	31179	5806
843	31222	5771
844	31265	5735
845	31311	5699
846	31364	5665
847	31423	5632
848	31464	5596
849	31501	5559
850	31537	5521
851	31573	5484
852	31607	5447
853	31640	5409
854	31678	5372
855	31719	5335
856	31761	5299
857	31796	5262
858	31830	5224
859	31867	5187
860	31902	5150
861	31949	5114
862	31985	5077
863	32024	5040
